"id","name","latitude","longitude","property_type","room_type","price","accommodates","bedrooms","beds","bathrooms","shared_bathroom","minimum_nights","maximum_nights","number_of_reviews","review_scores_rating","review_scores_accuracy","review_scores_cleanliness","review_scores_checkin","review_scores_communication","review_scores_location","review_scores_value","instant_bookable","Kitchen","Wifi","Air_conditioning","Elevator","Dishes_and_silverware","Washer","Body_soap","Microwave","Paid_parking_off_premises","total_amenities","short_term_availability","long_term_availability","years","host_id","host_response_time","host_response_rate","host_acceptance_rate","host_is_superhost","host_identity_verified"
47714335,"Pequeña c/ estudiantes internacionales/wifi/laundr",-34.61693,-58.37896,"Private room in condo","Private room",2692,1,1,1,1.5,"No",21,1125,3,5,4.67,5,5,5,5,5,"TRUE","1","1","0","1","0","1","0","0","0",4,"0","0",10.4630136986301,4191868,"within an hour",1,0.99,"FALSE","TRUE"
46852492,"TU LUGAR EN EL CORAZÓN DE BUENOS AIRES",-34.6084,-58.378,"Entire rental unit","Entire home/apt",10147,3,1,1,1,"No",2,28,68,4.9,4.96,4.93,4.91,4.91,4.97,4.94,"FALSE","1","1","0","1","1","0","1","0","0",5,"0","0",5.96164383561644,131144897,"within an hour",1,0.99,"TRUE","TRUE"
47373200,"Av 9 de Julio - Obelisco de Buenos Aires",-34.60864,-58.38341,"Entire rental unit","Entire home/apt",10354,4,1,4,1,"No",3,120,45,4.62,4.8,4.71,4.87,4.89,4.93,4.64,"FALSE","1","1","0","1","1","0","0","1","0",5,"1","1",6.12602739726027,121950957,"within an hour",1,0.98,"FALSE","TRUE"
47419105,"Unique apartment in the Historic Center of BA",-34.61491,-58.37262,"Entire condo","Entire home/apt",15695,4,2,3,1,"No",4,21,35,5,4.97,4.83,5,5,4.97,4.89,"FALSE","1","0","1","0","1","0","1","1","1",6,"1","0",8.77260273972603,19093797,"within an hour",1,1,"TRUE","TRUE"
48086974,"Cómodo dpto 3 ambientes p/ 4 personas en el Centro",-34.60899,-58.37504,"Entire rental unit","Entire home/apt",10768,4,2,4,1,"No",3,1125,4,3.75,3.75,3.5,4.25,4.25,5,4.25,"FALSE","1","1","1","0","1","1","0","1","0",6,"0","0",7.29041095890411,55553719,"within a few hours",1,0.81,"FALSE","TRUE"
48423921,"Departamento entero! Vibra al ritmo de San Telmo",-34.61465,-58.37936,"Entire rental unit","Entire home/apt",4970,2,1,1,1,"No",3,1125,8,5,5,5,5,5,4.88,4.5,"TRUE","1","1","1","1","1","0","1","0","0",6,"0","0",5.85479452054795,137488574,"within an hour",1,0.93,"TRUE","TRUE"
48976217,"Cozy Apartment Excellent Location - San Telmo",-34.61264,-58.37119,"Entire condo","Entire home/apt",5384,2,1,1,1,"No",3,1125,25,4.88,4.96,4.8,4.92,4.96,4.96,4.76,"FALSE","1","1","0","1","1","0","1","1","0",6,"0","1",7.89041095890411,35954480,"within an hour",1,0.99,"TRUE","TRUE"
49037119,"Confortable, silencioso y con vistas en San Telmo",-34.61356,-58.37816,"Entire rental unit","Entire home/apt",5591,3,1,2,1,"No",5,1125,14,5,5,4.93,5,5,5,5,"FALSE","1","0","0","1","1","0","1","1","0",5,"0","0",10.1780821917808,5305425,"within an hour",1,0.84,"TRUE","TRUE"
50913425,"Beautiful apartment in the heart of Buenos Aires.",-34.60988,-58.38726,"Entire condo","Entire home/apt",7620,2,1,1,1,"No",1,365,146,4.98,4.99,4.96,4.98,4.97,4.93,4.97,"FALSE","1","1","1","1","1","1","1","1","0",8,"0","0",3.4,316599097,"within an hour",1,0.99,"TRUE","TRUE"
49840253,"Departamento entero, cerca de Congreso y Favaloro.",-34.61695,-58.39102,"Entire serviced apartment","Entire home/apt",4100,2,1,2,1,"No",2,360,48,4.67,4.73,4.71,4.9,4.85,4.88,4.58,"FALSE","1","1","0","0","1","0","0","0","1",4,"1","1",3.1972602739726,338396358,"within an hour",1,1,"FALSE","TRUE"
50400231,"Excelente mono ambiente zona San Telmo",-34.61215,-58.37081,"Private room in condo","Private room",12425,2,1,1,1,"Yes",2,365,9,5,5,5,5,5,5,5,"TRUE","0","1","0","1","0","0","0","1","0",3,"1","1",9.2986301369863,11416641,"within an hour",1,0.96,"FALSE","TRUE"
50421814,"Departamento de estilo clásico reciclado a nuevo.",-34.61021,-58.37686,"Entire rental unit","Entire home/apt",13934,6,2,5,2,"No",1,365,33,4.91,4.88,4.85,4.94,4.94,4.94,4.97,"FALSE","1","1","0","1","1","0","1","0","0",5,"0","1",2.0027397260274,399918863,"within an hour",1,0.94,"FALSE","TRUE"
49985373,"Alojamiento zona Congreso y Montserrat",-34.61276,-58.38736,"Entire serviced apartment","Entire home/apt",7000,5,3,5,2,"No",15,1125,1,4,4,4,4,5,5,4,"TRUE","1","1","1","1","0","1","0","0","0",5,"0","1",3.76986301369863,280434561,"within a day",1,0.56,"FALSE","FALSE"
51480767,"Single room in student residence",-34.612522,-58.371002,"Private room in rental unit","Private room",2899,1,9,1,3.5,"Yes",28,365,2,4.5,4.5,4,5,4.5,5,4.5,"TRUE","1","1","1","0","1","1","0","0","0",5,"1","1",1.74794520547945,416972212,"within a few hours",0.8,0.9,"FALSE","TRUE"
